run_id      , experiment, model            , fold, epoch, train_loss          , train_acc         , val_loss           , val_acc           , val_rmse_dollars  , val_mae_dollars   , val_r2            , seconds
tuned2_s42  , tuned2    , lasso            ,    2,     1, 0.0954855045705899  , 0.7967409948542024, 0.1082150383751268 , 0.75              , 21933.300871472395, 13590.217752009316, 0.9314951884239092,  0.0629029999999999
tuned2_s42  , tuned2    , lasso            ,    3,     1, 0.0934639625435784  , 0.7864493996569468, 0.1183183750190662 , 0.7465753424657534, 19191.2592857411  , 12829.332934135691, 0.9308970570433442,  0.0626834
tuned2_s42  , tuned2    , lasso            ,    4,     1, 0.0936954560654809  , 0.8020565552699229, 0.1186734567293551 , 0.7353951890034365, 24105.71157135147 , 14066.653532040282, 0.9197366169630352,  0.1860531999999999
tuned2_s42  , tuned2    , lasso            ,    5,     1, 0.098802411511885   , 0.7866323907455013, 0.0978428486997553 , 0.7285223367697594, 21953.41891037668 , 13652.801085471869, 0.9252464007209108,  0.0802355000000001
tuned2_s42  , tuned2    , kernel_ridge     ,    1,     1, 0.0877688418964212  , 0.823327615780446 , 0.1272155786611746 , 0.6952054794520548, 20373.39621881606 , 14409.346783735604, 0.9248559448074948,  0.0469932000000001
tuned2_s42  , tuned2    , kernel_ridge     ,    2,     1, 0.0909710108277928  , 0.8164665523156089, 0.1180843731417773 , 0.726027397260274 , 21968.71130406685 , 14384.778355270835, 0.9312738133383136,  0.0327938999999997
tuned2_s42  , tuned2    , kernel_ridge     ,    3,     1, 0.0884958314822782  , 0.8104631217838765, 0.1173633746310312 , 0.7602739726027398, 18847.596729614463, 12856.172660805922, 0.933349784319756 ,  0.0323771999999999
tuned2_s42  , tuned2    , kernel_ridge     ,    4,     1, 0.0914596920220267  , 0.8191945158526135, 0.1196893793844636 , 0.738831615120275 , 24500.70141741989 , 14515.967085777724, 0.917084717512838 ,  0.0334155999999996
tuned2_s42  , tuned2    , kernel_ridge     ,    5,     1, 0.0931895104797813  , 0.8097686375321337, 0.1106346737073247 , 0.7353951890034365, 23412.26789293015 , 14737.612805167168, 0.9149812434865658,  0.0338324999999999
tuned2_s42  , tuned2    , svr              ,    1,     1, 0.0885026829233842  , 0.8499142367066895, 0.1224784580448461 , 0.7568493150684932, 18924.919912862944, 12970.071502052237, 0.9351610659851186,  0.1674060000000001
tuned2_s42  , tuned2    , svr              ,    2,     1, 0.091842224783918   , 0.8567753001715266, 0.1080472396770316 , 0.7602739726027398, 21026.67038899682 , 12918.175010778314, 0.9370415398370584,  0.1628784999999997
tuned2_s42  , tuned2    , svr              ,    3,     1, 0.0887888371306189  , 0.8507718696397941, 0.1151419628536902 , 0.7808219178082192, 18661.60521925296 , 11832.215171145288, 0.9346587267403668,  0.1643299000000002
tuned2_s42  , tuned2    , svr              ,    4,     1, 0.0885562097300786  , 0.8577549271636675, 0.1219671464430891 , 0.7663230240549829, 23795.78650898332 , 13867.627731243558, 0.9217872282446026,  0.1653774999999999
tuned2_s42  , tuned2    , svr              ,    5,     1, 0.0956911054496612  , 0.8474721508140531, 0.0952027294751322 , 0.7731958762886598, 20068.255097599547, 12399.6172066973  , 0.9375335242027208,  0.1641362000000006
tuned2_s42  , tuned2    , gradient_boosting,    1,  3000, 0.0578368533606173  , 0.9596912521440824, 0.1242956448698398 , 0.7363013698630136, 18559.68243878637 , 13455.068387930638, 0.9376396063965732,  3.8425741
tuned2_s42  , tuned2    , gradient_boosting,    2,  3000, 0.0592626286794614  , 0.9562607204116638, 0.1053066488871821 , 0.7397260273972602, 21687.215294464244, 13233.924880913928, 0.9330237750121876,  3.8140477
tuned2_s42  , tuned2    , gradient_boosting,    3,  3000, 0.0558878934835654  , 0.9605488850771868, 0.1169275875335942 , 0.7842465753424658, 19154.12326458346 , 12486.50938218147 , 0.9311642334119676,  3.837563699999999
